feature,coefficient
z_mu_b_39,3.2847870003537114
z_mu_b_27,2.895358754450757
z_mu_b_45,1.748289413384509
z_mu_b_72,1.4108714622624612
z_mu_b_69,1.1112985154470327
z_mu_b_22,0.950837618947981
z_mu_b_44,0.9164958253505013
z_mu_b_61,0.9091358187724473
z_mu_b_81,0.7722632091573626
z_mu_b_47,0.6904311368984006
z_mu_b_73,0.6898272006585375
z_mu_b_59,0.6442641727034716
z_mu_b_54,0.5730221982984053
z_mu_b_67,0.5030147081753692
z_mu_b_92,0.4748798586901797
z_mu_b_41,0.44951217723889686
z_mu_b_51,0.4494863309045511
z_mu_b_30,0.43556464197905603
z_mu_b_34,0.42116996525467365
z_mu_b_84,0.38131044000622333
z_mu_b_64,0.37300139066958526
z_mu_b_75,0.3661166157785396
z_mu_b_23,0.3001463845692
z_mu_b_83,0.2997399720551655
z_mu_b_88,0.2826685986258473
z_mu_b_62,0.265602746161636
z_mu_b_89,0.2632374999509009
z_mu_b_68,0.23803064164460494
z_mu_b_21,0.21663710223428068
z_mu_b_36,0.19564237976138035
z_mu_b_95,0.1920599559750433
z_mu_b_90,0.19029915750623017
z_mu_b_43,0.18743457697689464
z_mu_b_57,0.14813284947093072
z_mu_b_58,0.14584509893022546
z_mu_b_31,0.12061395869508289
z_mu_b_82,0.11991807349636911
z_mu_b_70,0.09043221660798648
z_mu_b_24,0.0846672896837804
z_mu_b_65,0.07723469809990231
z_mu_b_56,0.07485222683451334
z_mu_b_86,0.022454911793203216
z_mu_b_97,0.016935544677500306
z_mu_b_35,0.012287250720821858
z_mu_b_85,-0.0028843600342260754
z_mu_b_79,-0.02832485901292928
z_mu_b_66,-0.0697372326105068
z_mu_b_26,-0.08010625222238799
z_mu_b_60,-0.09893365330881614
z_mu_b_25,-0.12344186935991157
z_mu_b_80,-0.1258604638586584
z_mu_b_94,-0.14410884300989987
z_mu_b_98,-0.14930900173641104
z_mu_b_33,-0.2376161190591479
z_mu_b_42,-0.2522357800792577
z_mu_b_52,-0.2600129622860664
z_mu_b_96,-0.2757728728010422
z_mu_b_50,-0.2791136758591169
z_mu_b_74,-0.2910765438969434
z_mu_b_48,-0.3342587897237938
z_mu_b_71,-0.3400685589129707
z_mu_b_76,-0.4398276816799137
z_mu_b_87,-0.4401040622124053
z_mu_b_93,-0.4822767033499258
z_mu_b_38,-0.5160423025926721
z_mu_b_63,-0.5529603271049687
z_mu_b_99,-0.6040029937728526
z_mu_b_53,-0.6836286623449227
z_mu_b_40,-0.7036116511294648
z_mu_b_32,-0.7253458160014092
z_mu_b_29,-0.7328528909086435
z_mu_b_78,-0.7654525534154499
z_mu_b_55,-0.7701619458301185
z_mu_b_77,-0.8066224687161415
z_mu_b_49,-0.9393349496602839
z_mu_b_91,-0.968607502991227
z_mu_b_20,-0.9813665111541364
z_mu_b_46,-1.0736170354840513
z_mu_b_28,-1.170114078476854
z_mu_b_37,-2.273185235327357
