feature,coefficient
z_mu_b_92,2.0311996201315425
z_mu_b_54,1.8476380564516426
z_mu_b_61,1.7722393657097772
z_mu_b_44,1.7162519719962392
z_mu_b_64,1.5815111066312064
z_mu_b_84,1.3326833396130133
z_mu_b_55,1.1719199289177649
z_mu_b_98,1.1492522442375854
z_mu_b_25,1.0913940666216493
z_mu_b_82,1.0389533855258537
z_mu_b_45,0.8416153223751326
z_mu_b_32,0.7213926247971697
z_mu_b_83,0.6997667939699194
z_mu_b_34,0.6495380615135394
z_mu_b_80,0.6336234242831079
z_mu_b_79,0.6315998659593292
z_mu_b_50,0.5846593819503259
z_mu_b_47,0.4848434197526529
z_mu_b_42,0.4709325476056091
z_mu_b_87,0.43508560309620414
z_mu_b_29,0.4011760646367373
z_mu_b_52,0.3711821797906474
z_mu_b_46,0.3561976941649912
z_mu_b_86,0.29997703536232556
z_mu_b_36,0.29849893681623985
z_mu_b_51,0.2237975833153075
z_mu_b_66,0.1981059195173218
z_mu_b_57,0.17885743874132254
z_mu_b_56,0.15040228180170556
z_mu_b_65,0.14340306720353915
z_mu_b_62,0.1339050490054991
z_mu_b_73,0.1275002037512838
z_mu_b_76,0.10932616501164295
z_mu_b_85,0.08893267701229898
z_mu_b_33,0.07820670071668731
z_mu_b_68,0.06349257704292376
z_mu_b_91,0.03593942734250911
z_mu_b_58,0.03399228461255061
z_mu_b_95,0.011530055059038447
z_mu_b_20,-0.005904306993580621
z_mu_b_37,-0.011922217398342415
z_mu_b_90,-0.04166305869438662
z_mu_b_48,-0.04503277438257614
z_mu_b_26,-0.060717132842769195
z_mu_b_89,-0.07945585087778251
z_mu_b_49,-0.11233359376808535
z_mu_b_78,-0.13332100167839686
z_mu_b_94,-0.133897173716167
z_mu_b_96,-0.1491527532572754
z_mu_b_69,-0.16493122349033762
z_mu_b_39,-0.17110401785311177
z_mu_b_71,-0.1912869534269094
z_mu_b_88,-0.21768230373575412
z_mu_b_38,-0.23433869320624204
z_mu_b_70,-0.2611821312403813
z_mu_b_59,-0.27254258290965905
z_mu_b_28,-0.29209892646863567
z_mu_b_77,-0.3008113452532627
z_mu_b_93,-0.35456311357770975
z_mu_b_63,-0.3835285033391267
z_mu_b_72,-0.3874068356078444
z_mu_b_75,-0.40869780485356516
z_mu_b_60,-0.43115887968329875
z_mu_b_40,-0.4554182863457973
z_mu_b_81,-0.5258616891248123
z_mu_b_67,-0.5822763697556679
z_mu_b_31,-0.6389686123270656
z_mu_b_74,-0.7318120476711429
z_mu_b_97,-0.749007205067151
z_mu_b_43,-0.8011143376804092
z_mu_b_21,-0.8494214205246235
z_mu_b_53,-0.855472861113826
z_mu_b_23,-0.8605232872219933
z_mu_b_41,-0.863791581592073
z_mu_b_30,-0.9305944970940119
z_mu_b_22,-0.9700206064670299
z_mu_b_24,-1.0263883895333799
z_mu_b_27,-1.0822553350589872
z_mu_b_35,-1.1447054534609693
z_mu_b_99,-1.9496031335415474
