index,embryo_id
0,20251017_combined_A01_e01
1,20251017_combined_A03_e01
2,20251017_combined_A04_e01
3,20251017_combined_A05_e01
4,20251017_combined_A06_e01
5,20251017_combined_B01_e01
6,20251017_combined_B03_e01
7,20251017_combined_B04_e01
8,20251017_combined_B05_e01
9,20251017_combined_B06_e01
10,20251017_combined_B07_e01
11,20251017_combined_C01_e01
12,20251017_combined_C03_e01
13,20251017_combined_C04_e01
14,20251017_combined_C05_e01
15,20251017_combined_C06_e01
16,20251017_combined_C07_e01
17,20251017_combined_D04_e01
18,20251017_combined_D06_e01
19,20251017_combined_D07_e01
20,20251017_combined_E04_e01
21,20251017_combined_E06_e01
22,20251017_combined_E07_e01
23,20251017_combined_F03_e01
24,20251017_combined_F05_e01
25,20251017_combined_F06_e01
26,20251017_combined_G03_e01
27,20251017_combined_G04_e01
28,20251017_combined_G05_e01
29,20251017_combined_G06_e01
30,20251017_combined_G07_e01
31,20251017_combined_H03_e01
32,20251017_combined_H05_e01
33,20251017_combined_H06_e01
34,20251017_combined_H07_e01
